#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2009 01 02 12 30 349 11.8 999 99.0 9999
2009 01 02 12 40 346 10.0 999 99.0 9999
2009 01 02 12 50 347  9.2 999 99.0 9999
2009 01 02 13 00 350  9.9 350 15.1 1218
2009 01 02 13 10 353 10.8 999 99.0 9999
2009 01 02 13 20 352 11.1 999 99.0 9999
2009 01 02 13 30 358 11.5 999 99.0 9999
2009 01 02 13 40 358 11.9 999 99.0 9999
2009 01 02 13 50 357 12.3 999 99.0 9999
2009 01 02 14 00 352 11.9 357 14.7 1335
2009 01 02 14 10 347 10.9 999 99.0 9999
2009 01 02 14 20 344 10.3 999 99.0 9999
2009 01 02 14 30 343  8.5 999 99.0 9999
2009 01 02 14 40 347  8.1 999 99.0 9999
2009 01 02 14 50 351  8.2 999 99.0 9999
2009 01 02 15 00 350  7.5 352 13.6 1405
2009 01 02 15 10 349  7.0 999 99.0 9999
2009 01 02 15 20 346  6.9 999 99.0 9999
2009 01 02 15 30 338  5.8 999 99.0 9999
2009 01 02 15 40 341  5.7 999 99.0 9999
2009 01 02 15 50 327  6.2 999 99.0 9999
2009 01 02 16 00 293  4.2 353  8.8 1512
2009 01 02 16 10 281  3.9 999 99.0 9999
2009 01 02 16 20 279  2.8 999 99.0 9999
2009 01 02 16 30 283  2.1 999 99.0 9999
2009 01 02 16 40 276  2.2 999 99.0 9999
2009 01 02 16 50 243  3.1 999 99.0 9999
2009 01 02 17 00 237  4.8 236  5.7 1651
2009 01 02 17 10 232  3.9 999 99.0 9999
2009 01 02 17 20 220  3.4 999 99.0 9999
2009 01 02 17 30 219  3.7 999 99.0 9999
2009 01 02 17 40 231  3.2 999 99.0 9999
2009 01 02 17 50 223  3.7 999 99.0 9999
2009 01 02 18 00 202  3.8 226  5.1 1706
2009 01 02 18 10 205  4.3 999 99.0 9999
2009 01 02 18 20 202  4.8 999 99.0 9999
2009 01 02 18 30 201  5.5 999 99.0 9999
2009 01 02 18 40 201  5.1 999 99.0 9999
2009 01 02 18 50 196  5.3 999 99.0 9999
2009 01 02 19 00 196  4.7 204  6.6 1825
2009 01 02 19 10 190  4.7 999 99.0 9999
2009 01 02 19 20 206  4.2 999 99.0 9999
2009 01 02 19 30 204  4.7 999 99.0 9999
2009 01 02 19 40 196  4.1 999 99.0 9999
2009 01 02 19 50 191  3.9 999 99.0 9999
2009 01 02 20 00 183  4.2 176  7.6 1959
2009 01 02 20 10 183  4.0 999 99.0 9999
2009 01 02 20 20 164  4.2 999 99.0 9999
2009 01 02 20 30 172  3.7 999 99.0 9999
2009 01 02 20 40 172  3.2 999 99.0 9999
2009 01 02 20 50 163  3.7 999 99.0 9999
2009 01 02 21 00 166  3.3 174  5.6 2002
2009 01 02 21 10 170  4.0 999 99.0 9999
2009 01 02 21 20 174  3.8 999 99.0 9999
2009 01 02 21 30 187  3.7 999 99.0 9999
2009 01 02 21 40 188  3.7 999 99.0 9999
2009 01 02 21 50 192  3.4 999 99.0 9999
2009 01 02 22 00 191  3.3 161  5.5 2114
2009 01 02 22 10 184  3.2 999 99.0 9999
2009 01 02 22 20 193  3.4 999 99.0 9999
2009 01 02 22 30 203  3.2 999 99.0 9999
