#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 06 20 00 175  4.7  5.1 99.00 99.00 99.00 999 1017.2   8.2 999.0   7.2 99.0 99.00
2021 01 06 21 00 168  3.2  3.4 99.00 99.00 99.00 999 1017.0   8.5 999.0   7.0 99.0 99.00
2021 01 06 22 00 176  1.1  1.2 99.00 99.00 99.00 999 1016.6   8.6 999.0   6.7 99.0 99.00
2021 01 06 23 00   0  0.0  0.0 99.00 99.00 99.00 999 1015.8   8.2 999.0   6.2 99.0 99.00
2021 01 07 00 00   4  1.0  1.1 99.00 99.00 99.00 999 1016.0   8.0 999.0   7.0 99.0 99.00
2021 01 07 01 00 351  1.1  1.7 99.00 99.00 99.00 999 1016.5   7.8 999.0   7.4 99.0 99.00
2021 01 07 02 00 325  1.9  2.0 99.00 99.00 99.00 999 1016.9   7.8 999.0   7.5 99.0 99.00
2021 01 07 03 00   1  2.4  2.5 99.00 99.00 99.00 999 1017.4   7.7 999.0   7.5 99.0 99.00
2021 01 07 04 00  37  2.3  2.7 99.00 99.00 99.00 999 1018.2   7.6 999.0   7.6 99.0 99.00
2021 01 07 05 00 331  3.5  3.8 99.00 99.00 99.00 999 1019.1   7.3 999.0   7.3 99.0 99.00
2021 01 07 06 00 354  2.7  3.0 99.00 99.00 99.00 999 1019.8   7.3 999.0   7.3 99.0 99.00
2021 01 07 07 00 155  0.9  1.2 99.00 99.00 99.00 999 1020.7   6.7 999.0   6.7 99.0 99.00
2021 01 07 08 00 291  2.3  2.5 99.00 99.00 99.00 999 1021.7   6.6 999.0   6.6 99.0 99.00
2021 01 07 09 00 302  2.6  2.8 99.00 99.00 99.00 999 1022.5   6.5 999.0   6.5 99.0 99.00
2021 01 07 10 00 234  1.6  1.9 99.00 99.00 99.00 999 1023.4   6.6 999.0   6.6 99.0 99.00
